Epoch,TrainAccuracy,TrainLoss,ValidationAccuracy,ValidationLoss
0,0.4586656,3.220008,0.3982758,1.906746
1,0.4993909,2.622443,0.4172414,2.478793
2,0.5061738,2.383419,0.3586206,3.714848
3,0.526135,2.21828,0.3741379,3.456934
4,0.5491971,1.894085,0.3672413,3.369258
5,0.5451274,1.91068,0.3603448,3.59408
6,0.5548168,1.738838,0.3568965,3.726095
7,0.5565611,1.716812,0.3620689,3.485751
8,0.566445,1.571903,0.3586206,3.540824
9,0.5689644,1.552344,0.3724138,3.261521
10,0.5786545,1.428759,0.3672414,3.298295
11,0.5802049,1.413584,0.3862069,3.01329
12,0.591639,1.30454,0.3758621,3.037787
13,0.5937707,1.29393,0.3965517,2.755593
14,0.6069492,1.202885,0.387931,2.753077
15,0.6052049,1.1959,0.3982758,2.495258
16,0.6164452,1.119056,0.4,2.476397
17,0.6148947,1.114064,0.4137931,2.254926
18,0.6276855,1.047559,0.4137931,2.236283
19,0.6278794,1.043492,0.4224138,2.044172
20,0.6364066,0.9858578,0.4241379,2.026786
21,0.6373755,0.9822717,0.4327586,1.859477
22,0.646484,0.9327037,0.4327586,1.84332
23,0.6466779,0.9294071,0.4568966,1.69818
24,0.654042,0.8870618,0.4517241,1.681705
25,0.6548174,0.8839951,0.4775862,1.556705
26,0.6625695,0.8480012,0.4775862,1.53899
27,0.6625695,0.845136,0.4948276,1.43241
28,0.6701276,0.8147064,0.4913793,1.413768
29,0.6710966,0.8120253,0.5137931,1.323972
30,0.6776857,0.7863848,0.5155172,1.305413
31,0.6780734,0.7838863,0.5275862,1.230617
32,0.682337,0.762266,0.5327587,1.213209
33,0.6838874,0.7599545,0.5465518,1.151458
34,0.6885387,0.7416628,0.5517242,1.135961
35,0.6889262,0.7395393,0.5724139,1.085253
36,0.6914456,0.7239982,0.5758622,1.072012
37,0.6922208,0.7220582,0.5931035,1.030444
38,0.696097,0.7087954,0.5931035,1.019428
39,0.6964844,0.7070281,0.5965518,0.9853067
40,0.7015232,0.6956532,0.5982759,0.9762342
41,0.7011356,0.6940459,0.6103448,0.9481274
42,0.7054825,0.6842363,0.612069,0.9405985
43,0.7050948,0.6827754,0.6137932,0.9173481
44,0.708002,0.6742648,0.612069,0.9109549
45,0.7091647,0.6729372,0.6120691,0.8916505
46,0.7124593,0.6655073,0.6155173,0.8860434
47,0.712653,0.6643001,0.6137932,0.8699811
48,0.7138157,0.6577748,0.6137931,0.8648993
49,0.7136219,0.6566758,0.6155173,0.8515352
50,0.7157536,0.6509123,0.6172415,0.8468049
51,0.7155598,0.6499104,0.6155174,0.8357157
52,0.7178851,0.6447927,0.6189657,0.8312342
53,0.7182727,0.6438783,0.6206898,0.8220814
54,0.7221486,0.6393113,0.622414,0.817796
55,0.721761,0.6384751,0.6293104,0.8103023
56,0.7231176,0.6343825,0.6293105,0.8061897
57,0.7236989,0.6336176,0.6362069,0.8001209
58,0.7258306,0.6299341,0.6379311,0.7961725
59,0.7262182,0.6292323,0.6413794,0.7913257
60,0.7285438,0.6259059,0.6431035,0.7875381
61,0.7287376,0.6252614,0.6465518,0.7837363
62,0.7300941,0.6222475,0.65,0.780106
63,0.7306755,0.6216536,0.6534483,0.7771918
64,0.7331948,0.618914,0.6551724,0.773714
65,0.7333886,0.6183675,0.6603448,0.7715493
66,0.7341638,0.6158702,0.6603448,0.7682171
67,0.7341638,0.615365,0.663793,0.7666801
68,0.7339699,0.6130834,0.6672413,0.7634856
69,0.7347451,0.6126167,0.6672413,0.7624694
70,0.7357141,0.6105272,0.6655172,0.7594044
71,0.7364894,0.6100945,0.6689655,0.7588158
72,0.737846,0.6081781,0.6672413,0.7558731
73,0.737846,0.6077769,0.6655172,0.755632
74,0.7384274,0.6060153,0.6672413,0.7528045
75,0.7388149,0.6056429,0.6706895,0.7528415
76,0.7397839,0.6040217,0.6724136,0.7501238
77,0.7401715,0.6036751,0.6793103,0.7503802
78,0.7411405,0.6021816,0.675862,0.7477665
79,0.7413343,0.6018585,0.6741378,0.748192
80,0.7413344,0.6004816,0.6741378,0.7456781
81,0.7417219,0.6001805,0.6706895,0.7462311
82,0.7419158,0.5989102,0.6724137,0.7438127
83,0.7417219,0.5986282,0.6672413,0.7444575
84,0.7417219,0.5974554,0.6689654,0.7421313
85,0.741722,0.5971916,0.6586207,0.7428388
86,0.7411404,0.5961087,0.6586207,0.7406017
87,0.7417218,0.5958617,0.6586207,0.7413478
88,0.7401715,0.5948607,0.6586207,0.7391967
89,0.7401715,0.5946296,0.6603447,0.7399621
90,0.7403654,0.5937043,0.6620689,0.7378947
91,0.7407529,0.593487,0.6637931,0.7386636
92,0.7409467,0.5926324,0.6620689,0.7366775
93,0.7407528,0.5924281,0.6655172,0.7374375
94,0.7419157,0.5916383,0.6655172,0.7355309
95,0.7426909,0.591446,0.6672414,0.7362723
